City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
manzanillo,39,CU,1579665379,91,20.34,-77.12,70.81,5.91
crixas,100,BR,1579665608,96,-14.55,-49.97,73.8,6.24
bara,51,NG,1579665608,26,10.37,10.73,63.45,8.23
kurilsk,95,RU,1579665608,76,45.23,147.88,23.81,11.16
camopi,100,GF,1579665609,96,3.17,-52.32,69.19,2.48
tromso,75,NO,1579665464,92,69.65,18.96,30.99,8.05
codrington,100,AU,1579665610,78,-38.27,141.97,64.27,22.17
wamba,87,NG,1579665610,29,8.93,8.6,70.57,4.85
taman,40,RU,1579665610,75,45.21,36.72,44.6,15.66
kawana waters,40,AU,1579665611,35,-23.33,150.51,98.6,4.7
itarema,100,BR,1579665611,94,-2.92,-39.92,75.36,1.59
lichuan,95,CN,1579665611,86,30.3,108.85,45.28,1.72
balkanabat,0,TM,1579665612,71,39.51,54.37,27.19,3.6
wasilla,90,US,1579665426,85,61.58,-149.44,17.6,1.81
frederick,1,US,1579665612,73,39.47,-77.4,28.0,5.03
teruel,90,ES,1579665612,86,40.67,-0.67,46.4,5.82
puerto del rosario,75,ES,1579665613,93,36.59,-6.23,46.99,4.7
rockhampton,40,AU,1579665613,35,-23.38,150.5,98.6,4.7
kloulklubed,75,PW,1579665614,66,7.04,134.26,84.2,11.41
coihaique,0,CL,1579665614,77,-45.58,-72.07,59.0,3.36
anaconda,20,US,1579665614,69,46.13,-112.94,33.8,7.07
ampanihy,3,MG,1579665614,81,-24.7,44.75,66.99,9.89
dongsheng,0,CN,1579665615,69,39.82,109.98,22.03,8.23
baltasi,100,RU,1579665615,97,56.35,50.21,32.68,11.61
cervo,100,ES,1579665615,91,43.67,-7.41,50.0,4.0
vanimo,67,PG,1579665615,80,-2.67,141.3,82.15,14.23
dandong,98,CN,1579665616,69,40.13,124.39,32.34,2.86
port blair,98,CD,1579665532,65,-7.03,29.76,78.44,10.83
nabire,100,ID,1579665616,56,-3.37,135.48,88.0,5.3
kibaya,100,TZ,1579665617,95,-5.3,36.57,62.92,3.18
alofi,75,NU,1579665617,69,-19.06,-169.92,82.4,8.05
letpadan,50,MM,1579665617,36,17.78,95.75,85.12,0.89
brae,100,GB,1579665617,93,60.4,-1.35,44.6,4.7
kuytun,85,RU,1579665618,93,54.34,101.5,-5.51,5.79
touho,70,NC,1579665618,51,-20.78,165.23,81.28,2.06
novikovo,99,RU,1579665618,92,51.15,37.89,35.35,16.22
uray,100,RU,1579665618,94,60.12,64.78,4.82,14.34
bilibino,100,RU,1579665619,100,68.05,166.44,-30.15,2.21
puerto escondido,75,ES,1579665619,93,36.59,-6.23,46.99,4.7
phan thiet,62,TH,1579665619,68,19.55,99.74,75.99,3.36
calvinia,0,ZA,1579665619,70,-31.47,19.78,63.59,5.95
gwadar,0,PK,1579665602,65,25.12,62.33,69.98,7.34
praia,95,CV,1579665620,88,14.92,-23.51,68.0,9.17
masvingo,97,ZW,1579665620,97,-20.06,30.83,56.05,3.83
tessalit,53,ML,1579665620,22,20.2,1.01,66.56,12.44
lesozavodsk,21,RU,1579665621,85,45.48,133.42,20.59,8.32
yeniseysk,63,RU,1579665621,97,58.45,92.17,-22.22,2.86
vrangel,100,RU,1579665621,67,42.73,133.08,33.42,15.19
itaituba,100,BR,1579665622,97,-4.28,-55.98,73.8,0.65
roald,100,NO,1579665622,67,62.58,6.13,41.0,14.99
tricase,40,IT,1579665622,74,39.93,18.36,42.01,2.24
mokhotlong,22,LS,1579665622,88,-29.29,29.07,45.23,1.81
pevek,100,RU,1579665623,93,69.7,170.31,-13.65,1.72
rio brilhante,0,GR,1579665579,100,38.3,21.78,30.2,3.58
kousseri,76,CM,1579665623,20,12.08,15.03,66.2,12.75
tokur,100,RU,1579665624,94,53.13,132.9,-4.38,2.33
borovoy,0,RU,1579665624,83,55.43,86.08,-4.0,4.47
flin flon,0,FR,1579665624,92,48.5,6.66,26.6,2.24
tome,0,CL,1579665624,93,-36.62,-72.95,59.0,8.05
crab hill,1,US,1579665625,63,37.27,-76.49,34.0,10.33
bengkulu,0,ID,1579665625,57,-3.8,102.27,89.33,0.38
olafsvik,100,IS,1579665626,95,64.89,-23.71,42.1,29.97
laguna,90,US,1579665626,82,38.42,-121.42,57.2,9.17
mosetse,28,BW,1579665626,69,-20.75,26.65,66.56,9.01
yumen,0,CN,1579665627,61,40.28,97.2,18.59,4.61
meulaboh,10,ID,1579665627,77,4.14,96.13,80.96,6.51
coos bay,90,US,1579665627,93,43.17,-124.0,50.0,11.41
pachino,84,IT,1579665627,93,36.72,15.09,55.0,3.36
fortuna,75,US,1579665628,81,40.6,-124.16,50.0,4.7
lagoa,100,PT,1579665628,68,39.05,-27.98,58.71,22.48
chicama,20,PE,1579665387,73,-7.84,-79.15,73.4,4.7
kokoda,66,PG,1579665628,84,-8.88,147.74,70.75,6.38
yima,100,CN,1579665629,67,34.74,111.88,40.14,3.09
cooma,9,AU,1579665629,24,-36.23,149.13,80.6,16.11
corrente,100,BR,1579665629,97,-3.74,-43.34,74.1,2.21
beloha,47,MG,1579665629,83,-25.17,45.05,69.06,15.35
mackay,40,AU,1579665630,49,-21.15,149.2,91.99,12.75
loreto,100,MX,1579665630,47,22.27,-101.97,62.83,9.37
muroto,75,JP,1579665630,58,33.28,134.15,55.4,2.24
bandarbeyla,88,SO,1579665630,75,9.49,50.81,76.6,19.6
tevaitoa,100,PF,1579665631,78,-16.78,-151.5,82.09,9.13
port hawkesbury,98,CD,1579665566,65,-7.03,29.76,78.44,10.83
bourail,6,NC,1579665631,48,-21.57,165.48,82.6,8.34
margate,96,GB,1579665631,85,51.38,1.39,42.01,6.93
santa rosa,0,PH,1579665599,48,17.49,120.43,81.1,3.11
ambon,20,ID,1579665632,46,-3.7,128.18,93.2,11.41
san quintin,96,ML,1579665581,23,13.3,-4.9,73.85,5.53
emerald,40,AU,1579665632,39,-23.53,148.17,95.0,5.82
sumbe,100,AO,1579665633,95,-11.21,13.84,76.57,2.53
pathein,9,MM,1579665451,58,16.78,94.73,80.08,10.67
pangai,20,TO,1579665633,74,-19.8,-174.35,82.4,4.7
mana,28,GF,1579665633,94,5.66,-53.78,70.83,2.44
zhangjiakou,0,CN,1579665451,77,40.81,114.88,18.99,1.43
luancheng,66,CN,1579665504,55,37.88,114.65,33.8,2.24
esna,0,EG,1579665634,63,25.29,32.55,44.01,11.25
miraflores,5,MX,1579665634,51,19.22,-98.81,59.0,3.36
latnaya,90,RU,1579665635,93,51.66,38.9,35.6,15.66
port hardy,98,CD,1579665566,65,-7.03,29.76,78.44,10.83
lake havasu city,1,US,1579665635,85,42.33,-88.0,27.0,9.17
sibu,75,MY,1579665635,79,2.3,111.82,86.0,4.7
cayenne,100,GF,1579665636,88,4.93,-52.33,73.4,2.24
ostersund,75,SE,1579665636,86,63.18,14.64,32.0,28.86
koumac,93,NC,1579665636,64,-20.57,164.28,76.42,4.18
shelburne,20,CA,1579665636,73,44.08,-80.2,24.01,10.29
adrar,91,MR,1579665636,40,20.5,-10.07,57.81,8.97
padang,21,ID,1579665628,94,-0.95,100.35,73.38,4.34
tairua,100,NZ,1579665637,70,-37.02,175.85,75.0,4.0
ketchikan,90,US,1579665637,75,55.34,-131.65,44.6,6.93
fallon,90,US,1579665571,49,39.47,-118.78,46.99,5.82
san cristobal,96,ML,1579665638,23,13.3,-4.9,73.85,5.53
sao felix do xingu,59,IN,1579665638,55,20.51,76.21,71.94,16.69
aklavik,5,CA,1579665638,68,68.22,-135.01,-18.4,8.05
melfi,5,IT,1579665638,69,41.0,15.65,39.2,6.93
sisimiut,100,GL,1579665639,95,66.94,-53.67,9.14,2.89
hualmay,100,PE,1579665639,87,-11.1,-77.61,68.88,2.73
meadow lake,100,US,1579665639,64,45.53,-102.22,39.2,8.05
beckley,0,US,1579665639,92,37.78,-81.19,19.99,1.5
marawi,52,PH,1579665639,73,8.0,124.29,81.0,5.99
buala,49,SB,1579665640,79,-8.14,159.59,83.39,10.54
bambanglipuro,1,ID,1579665640,60,-7.95,110.28,87.8,2.84
shellbrook,5,CA,1579665640,79,53.22,-106.4,23.0,8.05
tianpeng,40,CN,1579665640,71,30.99,103.94,55.99,2.24
dickson,1,US,1579665641,73,36.08,-87.39,27.0,3.36
sakaiminato,75,JP,1579665379,61,35.55,133.23,48.2,1.12
winsum,90,NL,1579665386,93,53.33,6.52,43.0,5.82
tari,17,NG,1579665641,26,12.41,4.49,68.97,10.63
semey,75,KZ,1579665642,92,50.41,80.23,19.4,20.13
seoul,90,KR,1579665605,37,37.57,126.98,41.0,2.24
muhos,0,FI,1579665642,74,64.75,26.17,30.2,13.87
murray bridge,90,US,1579665642,100,40.67,-111.89,37.99,4.7
cam ranh,61,AR,1579665643,69,-38.98,-67.82,73.4,2.24
taltal,15,CL,1579665643,93,-25.4,-70.48,60.33,1.81
bar-le-duc,0,FR,1579665643,100,48.75,5.17,26.6,2.24
nadym,100,RU,1579665644,92,65.53,72.52,3.13,18.92
